ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,GEOID,geotypevalue06,geoname,COUNTY,county_fips,region_name,region_code,Poverty,TotalPop,NumPov,percent,LL_95CI_percent,UL_95CI_percent,percent_SE,percent_RSE,place_decile,CA_RR,ConcentratedCT,version_pov
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400100,6001400100,4001,Alameda,6001,,,Overall,2701,102.638,3.8,0.4638298,7.1361702,1.7021277,44.7928331,,0.2773723,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400200,6001400200,4002,Alameda,6001,,,Overall,2050,61.5,3,0.4978723,5.5021277,1.2765957,42.5531915,,0.2189781,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400300,6001400300,4003,Alameda,6001,,,Overall,4719,523.809,11.1,5.6191489,16.5808511,2.7963526,25.1923656,,0.810219,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400400,6001400400,4004,Alameda,6001,,,Overall,3930,306.54,7.8,3.987234,11.612766,1.9452888,24.9395994,,0.5693431,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400500,6001400500,4005,Alameda,6001,,,Overall,3506,448.768,12.8,5.412766,20.187234,3.768997,29.4452888,,0.9343066,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400600,6001400600,4006,Alameda,6001,,,Overall,1649,245.701,14.9,2.8659574,26.9340426,6.1398176,41.2068297,,1.0875912,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400700,6001400700,4007,Alameda,6001,,,Overall,3942,492.75,12.5,7.1382979,17.8617021,2.7355623,21.8844985,,0.9124088,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400800,6001400800,4008,Alameda,6001,,,Overall,2664,535.464,20.1,11.7595745,28.4404255,4.2553191,21.170742,,1.4671533,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001400900,6001400900,4009,Alameda,6001,,,Overall,2466,236.736,9.6,5.4297872,13.7702128,2.1276596,22.1631206,,0.7007299,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001401000,6001401000,4010,Alameda,6001,,,Overall,6481,2041.515,31.5,20.5382979,42.4617021,5.5927052,17.7546196,,2.2992701,no,1/22/2014 12:04
